id;fname;lname;mobile_no;email_id;rpos_customer_id;is_active;created_at;updated_at;created_by;updated_by
1;gadzooks up;ack;hmph;absent left apud;um;true;2025-06-07T08:07:59;2025-06-06T17:38:37;upside-down till;barring absent between
2;patiently meanwhile intellect;rarely;unfortunately innocently past;pish;sheepishly king;true;2025-06-06T23:06:46;2025-06-07T13:44:46;than;abnormally ectoderm eek
3;uh-huh;fantastic smuggle;corporation afore considerate;dark wafer whenever;wherever uncommon;false;2025-06-07T08:11:49;2025-06-07T14:24:09;almost failing;powerless
4;eek;freckle;hollow;advancement;close unbalance good;true;2025-06-07T05:44:39;2025-06-06T20:40:15;pro serpentine;except youthfully
5;anenst;serenade pessimistic boldly;ew promptly dilate;ick an why;fooey;false;2025-06-07T04:52:30;2025-06-07T14:08:40;consequently;all gratefully
6;huzzah;appreciate;oxygenate gripping jealously;surge hence;however request fold;false;2025-06-07T10:15:59;2025-06-06T22:04:35;recompense;between wasabi nearly
7;unnaturally wedding cemetery;strictly yowza underneath;eek doing;mockingly separately besides;direct blah incandescence;true;2025-06-06T21:16:09;2025-06-07T01:20:09;swing indeed;ick
8;expert qua;breakable;mortally despite seemingly;at;embarrassment;false;2025-06-07T11:37:44;2025-06-06T21:24:31;an capitalise essence;knavishly
9;phew gadzooks anti;ugh than;slimy midst;gah entice;defrag;false;2025-06-07T13:01:42;2025-06-06T18:31:41;perky drat masterpiece;suspiciously
10;management;broadly serialize;revitalise finally who;instruction;considering whoa horst;true;2025-06-07T05:17:54;2025-06-07T08:29:47;um;cassava adventurously
